,JOB,CANTIERE,UNITID,WBS,LINEA,COPR_AREA,SUBSYTEM,MAIN_AREA,AREAS,SPOOL_CODE,SPOOL_TYPE,REVISIONE,DESMAT,IDMATER,BUONI,MAX_DATE_MOV,SURFACE,PAINTING_STATUS,AVG_DIAM,PESORICH,PESOPREL,SOTTOCOMM,WELDCAT,DIAINCHRICH,DIAINCHDONE,DIAINCHBALANCE,FACTOREDDIAINCHRICH,FACTOREDDIAINCHDONE,FACTOREDDIAINCHBALANCE,IN_CHARGE,CURRENT_MACROAREA,ENTERED_ON,CURRENT_MICROAREA,RELEASE_ON,KIND,NEXT_MACROAREA
34448,835057,S1,1100.0,1100,1100-VS-3936-PAR-021A_A,R21A,,__A, __A,PAR-021A-A-1100-VS-3936-SP06,K,0,CARBON STEEL                                      ,CAR, WH1 LARS01 51,07/11/24,0.76,,1.0,12.75,12.75,12.0,FIELD,1.315,0,1.315,1.315,0,0,,,,,,,
5216,835057,S1,,2630,2630-PC-4926-PAR-015A_A,R15A,2610-038-P001,,,PAR-015A-A-2630-PC-4926-SP04,K,0,,, WH1 LARS01 36,25/09/24,5.6,,6.0,146.28,146.28,,FIELD,6.625,0,6.625,6.625,0,0,,,,,,,
7932,835057,S1,1100.0,1100,1100-LC-3937-PAR-003_A,R03,2500-029-P004,__A, __A,PAR-003-A-1100-LC-3937-SP02,K,1,CARBON STEEL                                      ,CAR, WH1 LARS01 76,17/12/24,0.56,,0.75,6.85,6.85,12.0,FIELD,1.05,0,1.05,1.05,0,0,,,,,,,
23445,835057,S1,3930.0,3930,3930-FW-9246-SB-GA8_A,39U1,3930-007-P004,**U, **U __U,SB-GA8-A-3930-FW-9246-SP11,,0,CARBON STEEL                                      ,CAR,,,,,0.0,,,11.0,FIELD,16.0,0,16.0,0.0,0,0,,,,,,,
30229,835057,S1,2610.0,2610,2610-HS-4912-PAR-022A_A,R22A,2610-039-P001,__A, __A,PAR-022A-A-2610-HS-4912-SP03,K,0,LOW ALLOY STEEL                                   ,LEG, WH1 LARS01 43,11/10/24,4.0,,8.0,412.54,412.54,12.0,SHOP,43.125,0,43.125,66.9544621026895,0,0,,,,,,,
21043,835057,S1,1100.0,1100,1100-HS-0058-PAR-023B_A,R23B,2500-029-P002,__A, __A,PAR-023B-A-1100-HS-0058-SP02,K,0,CARBON STEEL                                      ,CAR, WH1 LARS01 36,25/09/24,0.82,,4.0,32.36,32.36,12.0,FIELD,9.0,0,9.0,12.79734219269104,0,0,,,,,,,
7168,835057,S1,3310.0,3310,3310-BB-8911-PAR-049_A,R49,3910-013-P002,__A, __A,PAR-049-A-3310-BB-8911-SP01,K,0,CARBON STEEL                                      ,CAR, WH1 LARS01 28,05/09/24,6.03,,4.0,183.54,183.54,12.0,FIELD,4.5,0,4.5,4.5,0,0,,,,,,,
3230,835057,S1,2500.0,2500,2500-WD-3994-PAR-021A_A,R21A,2500-031-P006,__A, **A __A,PAR-021A-A-2500-WD-3994-SP01,K,0,STAINLESS STEEL                                   ,INX, WH1 LARS01 51,07/11/24,1.31,,1.0,22.05,22.05,12.0,SHOP,5.26,0,5.26,5.26,0,0,,,,,,,
17919,835057,S1,3750.0,3750,3750-SC-8902-PAR-035_A,R35,0000-085-E025,__A, __A,PAR-035-A-3750-SC-8902-SP03,K,0,CARBON STEEL                                      ,CAR, WH1 LARS01 18,29/07/24,9.61,,10.0,468.16,468.16,12.0,SHOP,21.5,0,21.5,32.25,0,0,,,,,,,
21445,835057,S1,1300.0,1300,1300-PG-0033-PAU-007_A,U7,1300-019-P005,__A, __A,PAU-007-A-1300-PG-0033-SP01,K,0,STAINLESS STEEL                                   ,INX,,,5.33,,18.0,485.06,0.0,12.0,SHOP,36.0,0,36.0,36.0,0,0,,,,,,,
17132,835057,S1,2710.0,2710,2710-LC-5110-PAR-052_A,R52,,__A, __A,PAR-052-A-2710-LC-5110-SP04,K,0,CARBON STEEL                                      ,CAR,,,0.18,,1.5,6.9,0.0,12.0,SHOP,5.7,0,5.7,6.66032608695652,0,0,,,,,,,
20295,835057,S1,3120.0,3120,3120-IA-8943-PAR-069_A,R69,3100-001-P004,__A, __A,PAR-069-A-3120-IA-8943-SP02,K,0,STAINLESS STEEL                                   ,INX, WH1 LARS01 40,05/10/24,6.5,,2.0,47.69,47.69,12.0,SHOP,7.125,0,7.125,7.125,0,0,,,,,,,
31473,835057,S1,3930.0,3930,3930-FW-9337-SB-GA12_A,39BM,3930-007-P002,**U, **U __U,SB-GA12-A-3930-FW-9337-SP02,,0,CARBON STEEL                                      ,CAR,,,,,0.0,,,11.0,FIELD,48.0,0,48.0,0.0,0,0,,,,,,,
20451,835057,S1,3420.0,3420,3420-LS-8997-PAR-001_A,R01,3410-020-P002,__A, __A,PAR-001-A-3420-LS-8997-SP03,K,0,CARBON STEEL                                      ,CAR, WH1 LARS01 21,10/08/24,0.5,,0.75,5.74,5.74,12.0,FIELD,1.05,0,1.05,1.05,0,0,,,,,,,
