,COMMOPER,COD_CANT,ITEM,COMPOSITION,GROUPC,ACTIVITY,CONTRACTOR,CODE_AR,SUBCMC,UM,SPLITSUBC,INCIDENCE,ACTIVITY_QTA,LEADER_ACT,DATA_PROGR,QTA_PROGRESS,IDS,EARLYSTART,EARLYFINISH,ACHIEVED_SMH,SMH,ACHIEVED_EMH,EMH,REMAINING_EMH,NUM_OF_DAYS_REMAINING,LATE_FINISH,STATUS
68,835057,S1,1200-UA-3954-PAU-005_A,MC-PIP-0310,MC-PIP-0310A,MC031G,LARS01,U5,MC0310,KG,,5,8.59,N,12/12/24,0.817768,69.0,14/05/25,22/07/25,0.0681473333333333,0.7158333333333333,0.2966453419999999,3.1160225,2.819377158,0.2819377158,19/12/24,ontime
69,835057,S1,PAR-052-P2,MC-STR-2410,MC-STR-2410A,MC241E,LARS01,R52,MC2410,KG,,5,12113.016,N,,,3087.0,03/09/24,31/01/25,,346.08617142857145,,1543.1982384,,,,ontime
70,835057,S1,1100-KS-0018-PAR-023B_A,MC-PIP-1820,MC-PIP-1820,MC182C,LARS01,R23B,MC1820,KG,,45,441.72,Y,,,1055.0,02/12/24,08/02/25,,36.81,,47.30085,,,,ontime
71,835057,S1,2500-AL-0011-SB-B2_A,VM-PAINT-0200,VM-PAINT-0200,VM020C,LARS01,SB2,VM0200,M2,,35,0.105,N,,,,,,,,,,,,,ontime
72,835057,S1,1100-CWS-0001-PAU-005_A,MC-PIP-0310,MC-PIP-0310A,MC031F,LARS01,U5,MC0310,KG,,5,28.141,N,12/12/24,14.9597556,69.0,14/05/25,22/07/25,1.2466463,2.345083333333333,5.4266513439,10.20814775,4.7814964061,0.47814964061,20/12/24,ontime
73,835057,S1,2610-BU-4002-PAR-012_A,VM-PAINT-0100,VM-PAINT-0100,VM010C,LARS01,R12,VM0100,M2,,5,0.226,N,,,2009.0,15/11/24,14/12/24,,0.0452,,0.1639403999999999,,,,ontime
74,835057,S1,2500-AG-0062-SB-B1_A,MC-HYD-0340,MC-HYD-0340A,MC034A,LARS01,SB1N,MC0340,KG,,55,127.292,N,,,,,,,,,,,,,ontime
75,835057,S1,1200-SF-0010-PAU-006_A,VP-PAI-0200,VP-PAI-0200A,VP020A,LARS01,U6,VP0200,M2,,20,47.226,N,,,14371.0,08/03/25,02/05/25,,15.742,,67.029436,,,,ontime
76,835057,S1,1100-UN-3906-PAU-005_A,MC-PIP-1810,MC-PIP-1810A,MC181D,LARS01,U5,MC1810,KG,,10,12.594,N,,,79.0,26/12/24,28/03/25,,0.787125,,1.011455625,,,,ontime
77,835057,S1,1100-LFG-3912-PAR-023B_A,MC-HYD-0340,MC-HYD-0340A,MC034A,LARS01,R23B,MC0340,KG,,55,690.25,N,,,1047.0,04/03/25,30/04/25,,6.9025,,30.0465825,,,,ontime
78,835057,S1,4120-A-0001-FDN-F10-H-1,LC1020,LC1020-1,LC102B,WHIT01,,LC1020,M3,,12,2.9436,N,,,,,,,,,,,,,ontime
79,835057,S1,1100-KS-3930-PAU-003A_A,MC-HYD-0430,MC-HYD-0430A,MC043D,LARS01,U3A,MC0430,KG,,5,3.735,N,,,350.0,13/09/25,30/09/25,,0.0747,,0.3251691,,,,ontime
80,835057,S1,C-2710-LIT-1113B,MS-CB-0420,MS-CB-0420,MS042C,LARS01,U212,MS0420,M,,10,4.0,N,,,14765.0,09/06/25,19/06/25,,0.4,,0.4159999999999999,,,,ontime
81,835057,S1,2500-HC-0095-PAR-021A_A,VM-PAINT-0200,VM-PAINT-0200,VM020B,LARS01,R21A,VM0200,M2,,35,0.1715,N,,,1136.0,05/06/25,21/06/25,,0.0571666666666666,,0.2434156666666666,,,,ontime
82,835057,S1,1100-E-204/E-220-D/B-1B,LC1020,LC1020-1,LC102M,MEL001,10BG,LC1020,M3,MISCELLANEOUS,6,0.429,N,,,,,,,,,,,,,ontime
83,835057,S1,2500-UA-3907-PAU-009A_A,MC-PIP-0310,MC-PIP-0310A,MC031C,LARS01,U9A,MC0310,KG,,30,16.275,N,,,519.0,21/12/24,24/11/25,,1.35625,,5.90375625,,,,ontime
84,835057,S1,1300-UA-3920-PAU-008_A,VP-PAI-0200,VP-PAI-0200A,VP020A,LARS01,U8,VP0200,M2,,20,0.31,N,,,266.0,28/01/25,19/02/25,,0.1033333333333333,,0.4399933333333333,,,,ontime
85,835057,S1,2500-AL-3909-SB-B2_A,MC-PIP-0310,MC-PIP-0310A,MC031C,LARS01,25BS,MC0310,KG,,30,5.01,N,,,,,,,,,,,,,ontime
86,835057,S1,1100-HG-0014-PAR-021B_A,MC-PIP-0310,MC-PIP-0310A,MC031B,LARS01,R21B,MC0310,KG,,30,219.369,N,12/12/24,109.6845,1144.0,28/10/24,24/05/25,9.140375,18.28075,39.788052375,79.57610475,39.788052375,3.9788052375,23/12/24,ontime
87,835057,S1,C-2710-FV-1005A,MS-CB-0420,MS-CB-0420,MS042B,LARS01,U213,MS0420,M,,75,30.0,N,,,2351.0,20/08/25,11/09/25,,3.0,,3.12,,,,ontime
88,835057,S1,1100-FG-0005-PAR-023B_A,VP-PAI-0100,VP-PAI-0100A,VP010A,LARS01,R23B,VP0100,M2,,50,18.84,N,,,1088.0,24/09/24,08/02/25,,3.768,,16.044144,,,,ontime
89,835057,S1,2500-UN-3855-PAU-001_A,MC-PIP-1810,MC-PIP-1810A,MC181C,LARS01,U1,MC1810,KG,,45,2.88,Y,,,287.0,04/01/25,08/03/25,,0.18,,0.2312999999999999,,,,ontime
90,835057,S1,1300-LS-3935-SB-A1_A,MC-PIP-0310,MC-PIP-0310A,MC031A,LARS01,SA1,MC0310,KG,,5,0.405,N,,,,,,,,,,,,,ontime
91,835057,S1,PAU-114-P1,MC-STRF-1140A,MC-STRF-1140A_1,MC114D,LARS01,U114,MC1140,KG,,20,206.69,Y,,,1436.0,18/05/24,28/10/24,,18.79,,83.78461,,,,ontime
92,835057,S1,2610-FP-4002-PAR-013_A,VM-PAINT-0200,VM-PAINT-0200,VM020D,LARS01,R13,VM0200,M2,,5,0.7085,N,29/11/24,0.63765,2068.0,25/03/25,10/04/25,0.21255,0.2361666666666666,0.77091885,0.8565765,0.08565765,0.008565765,19/12/24,ontime
93,835057,S1,1100-LS-3982-PAR-009_A,VM-PAINT-0100,VM-PAINT-0100,VM010A,LARS01,R09,VM0100,M2,,50,0.16,N,,,15517.0,15/02/25,26/02/25,,0.032,,0.136256,,,,ontime
94,835057,S1,1300-MD-3922-SB-A1_A,MC-HYD-0340,MC-HYD-0340A,MC034D,LARS01,SA1,MC0340,KG,,5,0.4625,N,,,,,,,,,,,,,ontime
95,835057,S1,1100-LS-3954-PAU-006_A,VM-PAINT-0100,VM-PAINT-0100,VM010A,LARS01,U6,VM0100,M2,,50,0.48,N,,,14365.0,10/04/25,08/05/25,,0.096,,0.408768,,,,ontime
96,835057,S1,2500-PG-0089-PAR-021B_A,VM-PAINT-0200,VM-PAINT-0200,VM020E,LARS01,R21B,VM0200,M2,,5,0.571,N,,,1183.0,11/06/25,27/06/25,,0.1903333333333333,,0.8104393333333333,,,,ontime
97,835057,S1,2500-VS-0104-PAR-022B_A,VP-PAI-0200,VP-PAI-0200A,VP020C,LARS01,R22B,VP0200,M2,,35,2.7545,Y,,,1296.0,26/09/24,29/01/25,,0.9181666666666666,,3.9095536666666666,,,,ontime
98,835057,S1,C-2610-PIT-1026A,MS-CB-0420,MS-CB-0420,MS042B,LARS01,U114,MS0420,M,,75,30.0,N,,,1462.0,15/04/25,07/05/25,,3.0,,3.12,,,,ontime
99,835057,S1,PAR-058-P3,VP-STR-0222,VP-STR-0222A,VP022A,LARS01,R58,VP0222,M2,,45,126.7695,Y,,,4234.0,20/08/24,02/11/24,,31.692375,,134.94613275,,,,ontime
